public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Lakelands Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,372373,0.0
Lakelands Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,372373,0.0
Lakelands Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,372373,0.0
Lakelands Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,372373,0.0
Lakelands Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,372373,0.3
Lakelands Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,372373,0.3
Lambton Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Lambton Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,143116,0.0
Middlesex-London Health Unit,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,1,579471,0.2
Middlesex-London Health Unit,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Middlesex-London Health Unit,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Middlesex-London Health Unit,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Middlesex-London Health Unit,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Middlesex-London Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,3,579471,0.5
Middlesex-London Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Middlesex-London Health Unit,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,2,579471,0.3
Middlesex-London Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,2,579471,0.4
Middlesex-London Health Unit,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,579471,0.5
Middlesex-London Health Unit,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Middlesex-London Health Unit,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Middlesex-London Health Unit,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,579471,0.0
Niagara Region Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,539180,0.0
Niagara Region Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,539180,0.0
Niagara Region Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,5,539180,0.9
Niagara Region Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,539180,0.2
Niagara Region Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,5,539180,0.9
Niagara Region Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,9,539180,1.6
Niagara Region Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,539180,0.1
Niagara Region Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,7,539180,1.3
Niagara Region Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,2,539180,0.3
Niagara Region Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,539180,0.6
Niagara Region Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,539180,0.0
Niagara Region Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,539180,0.0
Niagara Region Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,539180,0.1
North Bay Parry Sound District Health Unit,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
North Bay Parry Sound District Health Unit,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
North Bay Parry Sound District Health Unit,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,3,146766,2.0
North Bay Parry Sound District Health Unit,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,146766,0.7
North Bay Parry Sound District Health Unit,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,146766,1.0
North Bay Parry Sound District Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,2,146766,1.1
North Bay Parry Sound District Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
North Bay Parry Sound District Health Unit,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
North Bay Parry Sound District Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
North Bay Parry Sound District Health Unit,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,146766,0.1
North Bay Parry Sound District Health Unit,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
North Bay Parry Sound District Health Unit,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
North Bay Parry Sound District Health Unit,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,146766,0.0
Northeastern Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,5,123624,4.0
Northeastern Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,4,123624,3.2
Northeastern Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,123624,0.6
Northeastern Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,123624,0.8
Northeastern Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northeastern Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,123624,0.0
Northwestern Health Unit,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Northwestern Health Unit,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Northwestern Health Unit,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Northwestern Health Unit,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,83317,1.7
Northwestern Health Unit,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,83317,1.7
Northwestern Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,2,83317,2.6
Northwestern Health Unit,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Northwestern Health Unit,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Northwestern Health Unit,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,83317,0.9
Northwestern Health Unit,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,83317,0.9
Northwestern Health Unit,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Northwestern Health Unit,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Northwestern Health Unit,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,83317,0.0
Ontario,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,4,16124116,0.0
Ontario,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,9,16124116,0.1
Ontario,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,58,16124116,0.4
Ontario,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,46,16124116,0.3
Ontario,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,131,16124116,0.8
Ontario,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,297,16124116,1.8
Ontario,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,23,16124116,0.1
Ontario,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,122,16124116,0.8
Ontario,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,67,16124116,0.4
Ontario,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,136,16124116,0.8
Ontario,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,16124116,0.0
Ontario,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,20,16124116,0.1
Ontario,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,30,16124116,0.2
Ottawa Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,2,1153843,0.2
Ottawa Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,1153843,0.2
Ottawa Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,8,1153843,0.7
Ottawa Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,10,1153843,0.9
Ottawa Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,17,1153843,1.5
Ottawa Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,37,1153843,3.2
Ottawa Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,4,1153843,0.4
Ottawa Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,4,1153843,0.3
Ottawa Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,3,1153843,0.2
Ottawa Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,15,1153843,1.3
Ottawa Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,1153843,0.0
Ottawa Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,4,1153843,0.3
Ottawa Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,5,1153843,0.5
Peel Public Health,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,1662864,0.0
Peel Public Health,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,1662864,0.0
Peel Public Health,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,10,1662864,0.6
Peel Public Health,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,3,1662864,0.2
Peel Public Health,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,11,1662864,0.6
Peel Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,22,1662864,1.3
Peel Public Health,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,1662864,0.1
Peel Public Health,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,21,1662864,1.3
Peel Public Health,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,8,1662864,0.5
Peel Public Health,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,11,1662864,0.7
Peel Public Health,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,1662864,0.0
Peel Public Health,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,1662864,0.1
Peel Public Health,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,1662864,0.0
Public Health Sudbury & Districts,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,225525,0.0
Public Health Sudbury & Districts,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,225525,0.0
Public Health Sudbury & Districts,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,225525,0.0
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,0,225525,0.0
Public Health Sudbury & Districts,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,225525,0.5
Public Health Sudbury & Districts,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,3,225525,1.2
Public Health Sudbury & Districts,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,225525,0.0
Public Health Sudbury & Districts,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,2,225525,0.9
Public Health Sudbury & Districts,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,225525,0.4
Public Health Sudbury & Districts,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,225525,0.5
Public Health Sudbury & Districts,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,225525,0.0
Public Health Sudbury & Districts,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,1,225525,0.4
Public Health Sudbury & Districts,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,225525,0.2
Region of Waterloo Public Health and Emergency Services,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,706875,0.1414677276746242
Region of Waterloo Public Health and Emergency Services,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,706875,0.4244031830238727
Region of Waterloo Public Health and Emergency Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,6,706875,0.8488063660477454
Region of Waterloo Public Health and Emergency Services,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Emergency Services,Influenza hospital admissions,2024-25,17,2025-04-20,2025-04-26,2,706875,0.2829354553492484
Region of Waterloo Public Health and Emergency Services,Influenza hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,706875,0.1414677276746242
Region of Waterloo Public Health and Emergency Services,Influenza hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,2,706875,0.2829354553492484
Region of Waterloo Public Health and Emergency Services,RSV hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Emergency Services,RSV hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Emergency Services,RSV hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,1,706875,0.1414677276746242
Region of Waterloo Public Health and Paramedic Services,COVID-19 deaths,2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital admissions,2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital bed occupancy (due to infection),2024-25,17,2025-04-20,2025-04-26,1,706875,0.2
Region of Waterloo Public Health and Paramedic Services,COVID-19 hospital bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,3,706875,0.4
Region of Waterloo Public Health and Paramedic Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2024-25,17,2025-04-20,2025-04-26,6,706875,0.8
Region of Waterloo Public Health and Paramedic Services,Influenza hospital ICU bed occupancy (total),2024-25,17,2025-04-20,2025-04-26,0,706875,0.0
